current_headcount,average_burnout_score,comp_ratio,industry_demand,average_tenure_years,actual_attrition_count
152,56.75,1.05,79.48,7.24,6
137,63.14,0.91,61.76,3.53,7
393,57.96,1.05,60.73,3.57,20
285,36.3,1.0,61.44,3.44,13
237,54.45,0.79,57.41,5.7,25
180,70.91,1.04,86.65,3.91,12
138,55.99,0.97,57.97,8.2,6
480,49.13,0.96,46.82,5.63,20
439,69.84,0.86,26.43,2.41,35
320,69.86,0.99,63.98,1.54,20
102,71.91,1.01,39.8,5.94,4
394,57.3,1.06,87.75,6.29,30
310,68.17,1.06,52.07,4.28,20
342,48.14,1.08,97.12,4.36,27
150,50.99,1.08,57.7,5.17,5
401,60.79,0.86,90.85,6.31,40
456,78.09,1.23,100.0,6.15,33
111,78.45,1.09,76.58,3.44,6
335,59.84,1.08,63.45,2.78,15
332,71.91,1.13,64.16,0.5,24
214,48.56,1.09,56.68,3.47,11
229,43.12,1.03,68.51,0.66,15
162,64.03,1.03,68.4,4.02,10
102,80.99,1.03,69.85,6.03,8
252,45.17,0.93,67.25,7.3,12
289,68.25,0.96,77.56,8.37,14
308,90.6,1.09,70.18,3.77,29
357,46.66,0.99,82.34,7.0,25
316,53.25,0.97,86.27,2.04,22
109,84.61,1.01,80.03,4.21,12
282,84.49,0.91,82.35,6.93,31
276,77.71,1.06,66.71,4.21,8
212,47.13,1.07,50.51,6.07,13
433,52.69,1.09,89.17,5.34,22
492,44.45,0.92,87.57,4.02,40
335,73.07,1.14,93.44,3.75,25
353,48.94,1.05,65.53,5.93,19
148,63.91,0.91,58.06,4.28,4
67,75.65,1.01,82.6,8.03,4
391,52.87,0.87,54.98,2.45,26
153,81.25,1.11,42.45,2.62,14
458,72.71,0.93,73.91,3.39,22
420,47.71,0.85,73.3,2.79,33
112,56.98,0.96,81.91,0.52,10
313,54.27,1.07,55.39,4.93,15
96,55.23,0.92,78.45,1.88,4
107,53.42,1.17,63.32,3.86,5
97,40.82,1.03,100.0,2.92,8
398,42.21,0.95,95.34,3.08,29
253,76.62,0.95,91.94,8.73,16
299,88.15,1.13,67.43,3.57,27
306,100.0,1.19,78.28,5.64,27
307,66.05,0.96,72.27,5.82,20
466,46.43,1.05,79.34,6.77,25
217,57.7,1.02,87.7,3.57,13
163,59.67,1.09,76.15,6.13,9
298,31.75,1.14,100.0,7.88,19
145,70.74,1.05,65.96,4.06,8
62,52.06,1.08,82.66,0.5,4
446,63.85,0.98,87.08,3.96,28
255,62.0,1.2,52.93,4.47,13
485,52.93,1.12,85.83,5.75,36
158,69.87,1.17,87.78,5.49,11
223,65.9,0.96,74.08,5.62,13
54,41.28,1.01,91.21,4.97,3
376,71.88,0.93,65.73,5.12,24
140,53.12,0.88,38.27,3.66,13
197,36.28,1.13,85.42,5.49,13
240,52.3,1.0,18.71,6.79,7
129,73.99,1.02,70.25,4.7,5
69,54.47,0.9,98.74,3.1,4
457,55.99,0.85,85.68,4.18,39
235,53.65,0.91,43.49,2.96,10
250,64.26,1.1,58.46,2.7,13
95,90.27,0.83,72.84,6.57,11
423,47.45,1.03,48.05,5.18,20
332,54.59,1.01,76.85,8.32,17
72,67.9,0.95,82.46,2.36,4
100,51.92,0.93,76.72,5.49,4
487,58.61,1.01,100.0,4.84,39
438,56.55,1.25,97.94,3.72,35
152,72.88,1.11,34.83,2.13,4
496,70.4,1.17,87.32,4.29,35
130,36.74,1.0,85.93,3.94,6
83,42.15,1.12,77.51,1.76,6
200,34.06,1.04,51.2,3.47,7
244,65.66,1.11,71.52,5.21,13
141,57.07,0.98,68.46,7.87,10
61,56.7,0.88,100.0,4.57,5
399,68.21,0.96,48.81,4.86,16
229,56.79,0.88,100.0,3.88,21
414,32.12,1.04,54.31,5.44,23
323,87.86,0.75,53.79,2.69,38
490,64.28,0.84,74.13,3.8,28
443,64.88,1.15,71.55,2.78,28
418,73.08,0.8,91.35,5.92,40
369,36.29,1.09,70.55,4.75,17
247,61.42,0.98,24.44,6.09,12
384,56.35,1.08,80.02,2.54,27
441,76.27,1.12,68.28,2.68,24
69,58.12,0.97,39.51,6.1,2
405,69.02,1.09,36.3,3.0,11
310,80.09,0.94,86.71,2.24,35
457,86.62,1.13,79.29,3.38,48
422,67.55,1.01,79.76,7.66,20
410,66.71,1.08,82.76,3.62,30
388,69.35,1.21,87.42,3.85,31
344,58.88,1.06,75.91,5.92,24
112,41.3,1.0,65.22,6.15,6
484,66.43,0.77,98.65,6.93,44
91,70.08,0.96,82.66,9.04,6
87,68.72,1.08,90.2,3.51,6
245,87.65,1.04,63.05,6.16,25
310,58.33,0.74,62.29,7.16,30
331,53.39,0.88,34.43,7.49,28
445,64.17,0.97,61.2,5.79,29
405,55.96,1.13,57.45,3.51,21
50,59.16,1.01,91.88,1.12,5
358,81.06,0.94,87.04,0.5,45
259,74.42,1.08,69.23,3.61,13
300,61.31,0.97,16.06,4.39,14
112,75.44,0.91,55.59,4.66,3
386,53.01,0.98,70.01,4.82,16
264,67.24,1.13,63.41,3.6,7
354,64.51,0.95,55.74,4.71,16
243,87.56,0.85,100.0,7.68,33
181,69.35,0.97,67.0,5.56,10
429,45.1,1.12,26.51,2.96,18
304,57.13,1.05,45.56,5.93,14
127,59.38,1.12,78.41,3.95,5
360,39.95,1.18,45.17,2.87,22
445,38.7,0.95,90.31,3.25,36
102,68.17,0.99,59.1,5.3,5
264,81.55,0.97,96.92,8.81,30
408,74.26,0.88,49.11,4.06,33
342,74.34,1.02,50.43,5.32,11
202,92.16,1.0,52.02,2.68,16
