id,name,region,function,headcount,openPositions,allocatedBudget,actualSpend,performanceScore,targetScore,eNPS,attritionRate,riskLevel
1,Network Engineering,GLOBAL,Engineering,1250,45,8500000,8000000,92,95,75,4.5,Low
2,IT & Digital Services,GLOBAL,Engineering,850,120,6200000,6000000,88,90,68,8.2,Medium
3,Sales & Marketing,GLOBAL,Sales,600,20,4500000,4500000,95,100,82,5.1,Low
4,Customer Service,GLOBAL,Support,1400,150,5100000,5000000,85,90,60,12.5,High
5,Finance & Billing,GLOBAL,Finance,350,5,2100000,2000000,90,90,70,3.2,Low
6,Human Resources,GLOBAL,HR,120,8,950000,900000,94,95,85,2.1,Low
7,Enterprise Business (B2B),GLOBAL,Sales,280,12,3200000,3000000,91,95,78,4.8,Low
8,Consumer Business (B2C),GLOBAL,Sales,420,25,4800000,4600000,89,95,76,5.5,Medium
9,Legal & Regulatory,GLOBAL,Legal,65,2,800000,780000,98,100,88,1.5,Low
10,Corporate Planning,GLOBAL,Strategy,45,1,1200000,1100000,96,95,90,1.0,Low
