id,month,date,totalHeadcount,voluntaryAttritionRate,involuntaryAttritionRate,newHires,openPositions,eNPS,trainingHoursPerEmployee,absenteeismRate,revenue,operatingCost,ebitda,netProfit,marketingSpend,rdSpend,overallProductivityScore,csat,nps,marketSharePercentage,projectCompletionRate,carbonFootprintTons,energyConsumptionKwh,complianceScore,securityIncidents,anomalyFlag
"1","Apr 18","2018-04-01","5010","2.11","1.11","99","116","25","1.39","1.18","15643542.00","11732656.50","3910885.50","3167817.26","1720789.62","1720789.62","98","81.18","46","17.23","90.04","2483","556192","94","3","NO"
"2","May 18","2018-05-01","4992","2.06","2.48","61","32","56","4.25","1.59","16031626.00","10260240.64","5771385.36","4963391.41","1122213.82","1763478.86","82","95.82","65","20.29","90.40","2481","528453","92","2","NO"
"3","Jun 18","2018-06-01","5007","2.49","1.99","52","121","11","1.06","1.93","16257226.00","10079480.12","6177745.88","4509754.49","1950867.12","1300578.08","96","89.38","53","26.70","77.33","2476","599192","99","4","NO"
"4","Jul 18","2018-07-01","4991","3.81","1.63","18","49","44","4.23","1.28","16677234.00","12341153.16","4336080.84","3555586.29","1167406.38","1500951.06","88","83.63","52","27.76","81.44","2477","416136","86","5","NO"
"5","Aug 18","2018-08-01","5068","2.61","0.52","92","23","54","2.12","2.36","17199956.00","12211968.76","4987987.24","3890630.05","1031997.36","2063994.72","92","89.54","74","17.29","82.73","2475","601425","87","1","NO"
"6","Sep 18","2018-09-01","5091","3.25","0.91","21","134","34","4.93","3.69","16958233.00","12040345.43","4917887.57","4131025.56","1865405.63","2204570.29","81","80.01","47","33.62","86.99","2463","416247","90","0","NO"
"7","Oct 18","2018-10-01","5072","3.76","2.29","14","32","22","4.62","2.18","17566718.00","10715697.98","6851020.02","5480816.02","1405337.44","1932338.98","80","81.03","39","29.50","91.68","2458","567798","89","5","NO"
"8","Nov 18","2018-11-01","5057","2.44","0.63","88","77","11","3.59","3.66","17584271.00","12660675.12","4923595.88","3840404.79","879213.55","2110112.52","76","85.53","50","22.41","97.97","2439","465849","93","0","NO"
"9","Dec 18","2018-12-01","5016","3.89","1.46","14","125","38","2.54","2.69","17428081.00","12722499.13","4705581.87","3764465.50","1219965.67","1917088.91","82","82.10","58","22.85","85.06","2428","461320","91","1","NO"
"10","Jan 19","2019-01-01","4984","3.35","0.94","12","31","38","1.95","2.43","17629612.00","14103689.60","3525922.40","2714960.25","2115553.44","1939257.32","87","98.66","65","23.75","78.45","2415","461265","91","2","NO"
"11","Feb 19","2019-02-01","4953","3.19","2.31","88","97","21","2.17","1.02","18010860.00","12247384.80","5763475.20","4495510.66","1620977.40","1981194.60","93","84.24","34","30.01","76.58","2419","541856","92","4","NO"
"12","Mar 19","2019-03-01","4921","2.73","1.02","35","35","57","2.10","1.66","18591852.00","14315726.04","4276125.96","3292616.99","1301429.64","2045103.72","97","83.54","62","17.74","80.19","2419","413649","88","0","NO"
"13","Apr 19","2019-04-01","4875","3.10","1.29","60","114","56","2.62","2.89","18808934.00","14294789.84","4514144.16","3656456.77","1316625.38","1692804.06","90","89.52","47","28.32","93.91","2410","578400","92","5","NO"
"14","May 19","2019-05-01","4937","2.60","1.29","100","26","53","2.00","1.28","19149265.00","13595978.15","5553286.85","4387096.61","957463.25","2297911.80","87","82.76","35","20.43","75.49","2397","570486","99","3","NO"
"15","Jun 19","2019-06-01","5016","3.95","2.22","14","34","35","3.61","1.27","19221442.00","14031652.66","5189789.34","4411320.94","1729929.78","1922144.20","87","86.58","75","28.18","96.41","2392","394680","99","3","NO"
"16","Jul 19","2019-07-01","5043","3.14","2.23","49","134","17","4.35","3.81","19702807.00","15762245.60","3940561.40","3231260.35","2167308.77","2955421.05","93","83.32","49","15.84","95.28","2381","445247","98","4","NO"
"17","Aug 19","2019-08-01","5085","2.56","0.54","93","113","19","1.89","1.26","19476656.00","13244126.08","6232529.92","4612072.14","1947665.60","2921498.40","84","92.26","59","18.93","95.24","2371","395957","96","5","NO"
"18","Sep 19","2019-09-01","5070","2.29","0.68","89","128","40","1.54","2.75","19246609.00","12702761.94","6543847.06","5300516.12","1924660.90","2502059.17","85","82.86","43","33.45","83.75","2376","420552","97","5","NO"
"19","Oct 19","2019-10-01","5148","1.95","0.88","50","150","39","2.86","2.88","19641870.00","15517077.30","4124792.70","3506073.79","1767768.30","1767768.30","79","80.60","43","17.97","83.97","2374","586378","93","0","NO"
"20","Nov 19","2019-11-01","5210","3.43","2.03","37","79","24","1.58","3.45","19723658.00","14201033.76","5522624.24","4749456.85","1380656.06","2761312.12","81","86.11","38","15.99","86.89","2361","583167","89","1","NO"
"21","Dec 19","2019-12-01","5268","3.80","0.90","66","89","24","4.33","3.46","19260648.00","13482453.60","5778194.40","4333645.80","2118671.28","1733458.32","95","93.16","73","33.11","96.77","2353","574132","87","1","NO"
"22","Jan 20","2020-01-01","5239","2.68","2.05","98","85","40","3.30","2.27","19516351.00","11709810.60","7806540.40","6635559.34","1756471.59","1951635.10","83","91.84","64","30.94","83.86","2357","499684","92","4","NO"
"23","Feb 20","2020-02-01","5269","2.75","2.18","41","115","26","1.54","3.11","20099345.00","12863580.80","7235764.20","6005684.29","2210927.95","2009934.50","93","95.59","44","21.77","96.86","2350","545200","97","4","NO"
"24","Mar 20","2020-03-01","5279","1.53","1.11","83","134","51","4.52","2.39","20288613.00","16028004.27","4260608.73","3451093.07","2028861.30","2840405.82","80","87.56","42","20.61","75.88","2339","521597","98","1","NO"
"25","Apr 20","2020-04-01","5333","3.41","1.13","81","108","56","1.91","3.28","20589142.00","14618290.82","5970851.18","4716972.43","1441239.94","1647131.36","89","82.04","53","21.47","86.72","2354","470800","90","0","NO"
"26","May 20","2020-05-01","5363","1.72","1.36","97","143","40","4.35","2.27","20716886.00","14294651.34","6422234.66","5651566.50","1035844.30","2486026.32","89","89.90","73","29.00","87.20","2339","383596","98","1","NO"
"27","Jun 20","2020-06-01","5430","3.65","0.62","70","75","56","4.92","3.31","20783187.00","15795222.12","4987964.88","4239770.15","1246991.22","2286150.57","93","96.47","72","30.24","84.32","2351","425531","89","3","NO"
"28","Jul 20","2020-07-01","5423","3.06","2.02","55","71","27","3.87","1.05","20841850.00","16048224.50","4793625.50","4122517.93","2084185.00","2709440.50","86","93.67","41","26.44","84.03","2348","544736","91","2","NO"
"29","Aug 20","2020-08-01","5386","1.52","1.17","47","150","30","4.88","3.10","20874011.00","16072988.47","4801022.53","3696787.35","1461180.77","2087401.10","85","92.88","33","29.67","76.61","2337","390279","94","0","NO"
"30","Sep 20","2020-09-01","5440","2.52","2.16","32","105","46","3.14","2.45","20927641.00","12765861.01","8161779.99","6937512.99","1883487.69","1883487.69","96","96.21","40","27.45","84.26","2326","474504","90","3","NO"
"31","Oct 20","2020-10-01","5454","1.73","0.99","52","75","26","2.83","3.41","21347191.00","13875674.15","7471516.85","5528922.47","1280831.46","2775134.83","78","81.77","59","22.78","75.50","2310","475860","93","2","NO"
"32","Nov 20","2020-11-01","5491","3.83","2.23","10","54","23","3.64","2.66","21523380.00","15496833.60","6026546.40","4760971.66","2367571.80","3013273.20","91","89.03","53","30.16","93.22","2325","499875","100","5","NO"
"33","Dec 20","2020-12-01","5445","2.92","1.28","88","76","24","1.42","2.19","22302218.00","17172707.86","5129510.14","4360083.62","2676266.16","3122310.52","77","88.20","35","18.93","83.97","2306","352818","87","2","NO"
"34","Jan 21","2021-01-01","5481","3.17","1.66","39","89","34","4.07","1.33","22673825.00","14737986.25","7935838.75","6269312.61","1360429.50","2720859.00","87","94.41","33","21.75","90.34","2321","457237","97","2","NO"
"35","Feb 21","2021-02-01","5537","3.21","0.58","66","50","25","3.96","3.52","23051927.00","15444791.09","7607135.91","5705351.93","1152596.35","2996750.51","76","91.58","58","30.08","79.64","2308","560844","89","4","NO"
"36","Mar 21","2021-03-01","5505","3.99","1.09","11","49","13","2.15","2.18","23179131.00","15993600.39","7185530.61","6035845.71","2086121.79","2086121.79","93","86.00","74","18.70","81.66","2321","434027","92","1","NO"
"37","Apr 21","2021-04-01","5540","1.91","1.23","14","33","45","4.50","1.19","23963461.00","16295153.48","7668307.52","6671427.54","2635980.71","3115249.93","76","93.19","36","27.93","78.19","2304","476928","98","5","NO"
"38","May 21","2021-05-01","5491","2.73","2.38","83","134","34","3.33","2.51","24237398.00","18905170.44","5332227.56","4372426.60","1938991.84","3393235.72","92","87.93","40","19.98","94.62","2305","569335","99","2","NO"
"39","Jun 21","2021-06-01","5462","3.41","1.35","96","130","49","4.19","4.00","24045450.00","18755451.00","5289999.00","4549399.14","1923636.00","1923636.00","84","94.07","72","33.63","79.97","2304","550656","98","3","NO"
"40","Jul 21","2021-07-01","5534","3.16","0.86","59","48","15","2.43","1.43","24749312.00","18809477.12","5939834.88","4811266.25","2227438.08","3217410.56","91","85.86","44","19.67","86.46","2288","361504","99","4","NO"
"41","Aug 21","2021-08-01","5515","2.80","2.25","92","51","28","2.36","3.53","25244733.00","19943339.07","5301393.93","4400156.96","1514683.98","2776920.63","93","90.21","64","23.94","75.49","2276","389196","98","0","NO"
"42","Sep 21","2021-09-01","5584","3.10","0.71","97","89","53","3.65","3.30","25203028.00","18398210.44","6804817.56","5988239.45","1764211.96","3276393.64","90","95.16","44","19.12","75.90","2268","455868","88","3","NO"
"43","Oct 21","2021-10-01","5635","3.83","2.25","17","150","47","4.73","2.99","25889318.00","17604736.24","8284581.76","6047744.68","2071145.44","2330038.62","97","84.81","70","31.17","75.30","2264","529776","88","5","NO"
"44","Nov 21","2021-11-01","5688","3.64","0.50","25","78","54","3.56","3.30","25651226.00","18725394.98","6925831.02","5471406.51","2052098.08","2308610.34","76","88.97","31","29.21","90.97","2266","378422","94","2","NO"
"45","Dec 21","2021-12-01","5701","2.99","1.83","14","93","17","1.83","2.53","25972094.00","18699907.68","7272186.32","6035914.65","1558325.64","3116651.28","88","96.31","38","25.17","96.28","2258","356764","100","5","NO"
"46","Jan 22","2022-01-01","5684","3.70","2.35","26","117","52","2.00","1.47","25556557.00","18911852.18","6644704.82","4983528.62","2555655.70","3577917.98","93","85.76","70","24.52","89.91","2248","382160","99","2","NO"
"47","Feb 22","2022-02-01","5656","2.37","2.35","93","52","20","1.52","1.17","25335019.00","17227812.92","8107206.08","6566836.92","2026801.52","2533501.90","82","85.62","70","34.65","76.50","2259","447282","95","4","NO"
"48","Mar 22","2022-03-01","5629","2.82","1.12","33","103","38","3.89","1.41","25881630.00","18893589.90","6988040.10","5031388.87","2329346.70","2588163.00","94","94.28","57","34.43","76.48","2263","362080","96","4","NO"
"49","Apr 22","2022-04-01","5593","1.74","0.74","29","24","36","1.30","2.82","25819500.00","15491700.00","10327800.00","7952406.00","1549170.00","2840145.00","76","96.41","31","28.26","88.01","2265","394110","99","5","NO"
"50","May 22","2022-05-01","5621","3.22","2.27","35","143","43","1.26","1.22","25641246.00","17692459.74","7948786.26","5882101.83","2820537.06","3589774.44","82","80.20","33","33.20","82.33","2268","458136","99","5","NO"
"51","Jun 22","2022-06-01","5650","3.24","0.62","89","124","32","3.31","2.36","26308081.00","19204899.13","7103181.87","5824609.13","2367727.29","3420050.53","98","83.89","62","32.04","95.03","2271","485994","91","1","NO"
"52","Jul 22","2022-07-01","5634","3.42","1.83","33","143","53","1.79","1.68","25827935.00","20404068.65","5423866.35","4718763.72","1549676.10","2066234.80","76","91.14","49","19.36","93.18","2263","509175","95","3","NO"
"53","Aug 22","2022-08-01","5693","3.14","1.06","94","59","57","2.17","3.41","26150709.00","18043989.21","8106719.79","6161107.04","1569042.54","2353563.81","78","85.53","38","23.65","95.56","2276","389196","86","0","NO"
"54","Sep 22","2022-09-01","5656","3.08","0.65","58","87","46","4.52","2.14","25904136.00","15801522.96","10102613.04","8890299.48","1813289.52","2331372.24","76","87.95","47","29.87","86.38","2264","346392","96","4","YES"
"55","Oct 22","2022-10-01","5621","1.54","0.83","12","69","20","2.34","3.47","26692211.00","19752236.14","6939974.86","5621379.64","3203065.32","2135376.88","90","80.90","63","26.12","80.89","2246","462676","98","1","NO"
"56","Nov 22","2022-11-01","5657","2.99","1.43","79","47","46","2.87","1.62","26213482.00","19922246.32","6291235.68","4466777.33","3145617.84","2621348.20","84","96.65","48","24.61","79.10","2247","348285","86","0","NO"
"57","Dec 22","2022-12-01","5730","2.92","0.58","94","45","47","4.75","2.24","26628343.00","19172406.96","7455936.04","6337545.63","2130267.44","3461684.59","88","90.49","60","31.88","76.16","2237","366868","95","4","NO"
"58","Jan 23","2023-01-01","5688","3.08","1.26","97","136","18","4.62","2.49","26941357.00","18589536.33","8351820.67","7433120.40","1347067.85","3502376.41","80","92.23","30","27.14","85.19","2218","514576","100","2","NO"
"59","Feb 23","2023-02-01","5644","1.53","0.59","98","93","58","2.94","2.27","27468886.00","21151042.22","6317843.78","5559702.53","1922822.02","3021577.46","85","84.25","72","32.80","90.47","2206","463260","95","1","NO"
"60","Mar 23","2023-03-01","5724","1.72","1.67","98","121","38","3.86","1.57","27864205.00","22012721.95","5851483.05","4154552.97","3065062.55","2786420.50","78","80.79","51","33.53","90.48","2211","442200","86","0","NO"
"61","Apr 23","2023-04-01","5715","3.91","1.28","88","85","35","1.03","3.59","28661265.00","18916434.90","9744830.10","8380553.89","2292901.20","3152739.15","83","83.87","52","31.98","91.13","2196","454572","87","1","NO"
"62","May 23","2023-05-01","5688","3.73","0.95","41","120","27","2.31","3.23","29041321.00","22071403.96","6969917.04","6203226.17","1742479.26","4065784.94","79","88.37","60","16.12","95.18","2200","358600","100","3","NO"
"63","Jun 23","2023-06-01","5756","3.15","1.58","91","92","51","3.83","1.18","29601283.00","23089000.74","6512282.26","5405194.28","2072089.81","2664115.47","96","93.26","42","28.25","97.54","2210","444210","98","1","NO"
"64","Jul 23","2023-07-01","5770","1.60","1.81","41","60","29","3.05","2.51","29525220.00","22439167.20","7086052.80","5527121.18","2066765.40","2362017.60","94","97.32","43","15.81","96.92","2216","476440","100","0","NO"
"65","Aug 23","2023-08-01","5761","1.51","2.43","62","73","37","2.85","1.44","29917595.00","23634900.05","6282694.95","4523540.36","2094231.65","3290935.45","80","96.57","73","25.97","82.12","2207","487747","99","2","NO"
"66","Sep 23","2023-09-01","5781","3.50","1.75","62","59","22","1.08","3.94","30483844.00","21033852.36","9449991.64","6614994.15","3353222.84","2743545.96","88","83.98","61","28.26","93.57","2206","390462","90","2","NO"
"67","Oct 23","2023-10-01","5762","1.82","1.13","78","145","14","4.69","3.50","30884724.00","20075070.60","10809653.40","9188205.39","1544236.20","3397319.64","84","95.18","34","30.56","94.34","2187","367416","86","0","NO"
"68","Nov 23","2023-11-01","5751","2.70","1.01","69","134","14","3.97","3.96","30669237.00","21161773.53","9507463.47","7510896.14","1533461.85","2453538.96","82","89.32","41","31.27","93.79","2191","503930","96","5","NO"
"69","Dec 23","2023-12-01","5722","2.98","1.25","72","141","51","3.62","1.67","30661850.00","20236821.00","10425029.00","9069775.23","2759566.50","3066185.00","82","84.00","50","31.05","91.00","2199","494775","91","5","NO"
"70","Jan 24","2024-01-01","5780","2.44","1.76","86","78","26","1.92","3.87","31191270.00","19962412.80","11228857.20","8309354.33","2807214.30","4366777.80","93","88.80","49","24.56","90.83","2195","395100","86","1","NO"
"71","Feb 24","2024-02-01","5788","1.84","1.50","84","38","47","2.41","2.66","31715992.00","20932554.72","10783437.28","8518915.45","2220119.44","4123078.96","92","97.21","53","28.03","88.81","2183","447515","98","0","NO"
"72","Mar 24","2024-03-01","5759","2.92","1.73","41","47","18","4.27","3.30","32123711.00","25377731.69","6745979.31","4789645.31","2569896.88","3854845.32","86","86.10","55","22.34","83.21","2177","385329","88","1","NO"
"73","Apr 24","2024-04-01","5746","2.85","1.28","13","80","20","4.48","2.96","32179347.00","19629401.67","12549945.33","11169451.34","2574347.76","2896141.23","79","89.06","66","33.26","79.88","2169","472842","99","0","NO"
"74","May 24","2024-05-01","5759","3.15","1.20","78","75","15","3.67","1.17","32836927.00","22657479.63","10179447.37","9059708.16","2955323.43","3283692.70","78","92.69","36","19.84","87.05","2184","506688","95","0","NO"
"75","Jun 24","2024-06-01","5793","1.94","0.53","92","30","47","2.30","3.85","33561825.00","23493277.50","10068547.50","7350039.67","2349327.75","5034273.75","88","87.75","35","32.64","81.96","2176","396032","94","1","NO"
"76","Jul 24","2024-07-01","5814","3.74","1.97","15","106","17","2.02","2.03","33523909.00","20114345.40","13409563.60","9788981.43","1676195.45","4022869.08","80","94.29","51","32.42","78.21","2172","436572","95","0","NO"
"77","Aug 24","2024-08-01","5794","3.25","1.28","57","123","10","3.45","2.44","33078240.00","21500856.00","11577384.00","10072324.08","3638606.40","4630953.60","78","90.18","30","33.09","85.92","2169","485856","91","1","NO"
"78","Sep 24","2024-09-01","5871","2.44","1.34","47","24","56","1.26","3.40","32921361.00","19752816.60","13168544.40","11061577.30","3292136.10","3292136.10","83","97.01","56","31.93","80.38","2162","332948","97","5","NO"
"79","Oct 24","2024-10-01","5861","3.26","2.17","32","114","46","2.95","3.72","32468130.00","24675778.80","7792351.20","6857269.06","1948087.80","2597450.40","97","87.25","47","34.05","82.23","2143","362167","87","5","NO"
